price,bedrooms,bathrooms,size_sqft,property_type,location,furnishing,price_category,days_on_market,verified
2500000.0,2.0,3.0,1323.0,Residential For Sale,Binghatti Canal,NO,Medium,452,True
7200000.0,2.0,3.0,1410.0,Residential For Sale,La Vie,YES,Luxury,453,True
3600000.0,4.0,3.0,2324.0,Residential For Sale,La Rosa 6,NO,Medium,452,True
2999999.0,2.0,3.0,1647.0,Residential For Sale,Springs 15,NO,Medium,451,True
2449999.0,3.0,3.0,2105.0,Residential For Sale,Noor Townhouses,NO,Medium,457,True
9448437.5,5.0,7.0,5796.375,Residential For Sale,The Residences 1,YES,Luxury,459,True
4980000.0,2.0,3.0,1095.0,Residential For Sale,Vida Residences Dubai Marina,NO,Medium,450,True
2800000.0,3.0,4.0,1991.0,Residential For Sale,Anya 2,NO,Medium,460,True
1870000.0,4.0,3.0,1881.0,Residential For Sale,Madinat Hind,NO,Medium,453,True
950000.0,1.0,1.0,669.0,Residential For Sale,East 40,YES,low-economy,451,True
9448437.5,5.0,5.0,3970.0,Residential For Sale,Meadows 3,YES,Luxury,451,True
1850000.0,3.0,5.0,1881.0,Residential For Sale,Aurum Villas,NO,Medium,451,True
5495000.0,3.0,4.0,2204.0,Residential For Sale,Al Sahab 2,NO,Luxury,451,True
2100000.0,2.0,3.0,1188.0,Residential For Sale,Princess Tower,YES,Medium,459,True
2700000.0,3.0,4.0,2176.0,Residential For Sale,Bliss,NO,Medium,454,True
975000.0,1.0,1.0,654.0,Residential For Sale,Bloom Towers B,YES,low-economy,453,True
2950000.0,4.0,5.0,2555.0,Residential For Sale,Parkside 3,NO,Medium,449,True
1995000.0,1.0,2.0,909.0,Residential For Sale,Fairfield Tower,NO,Medium,461,True
7500000.0,2.0,3.0,2036.0,Residential For Sale,Burj Khalifa,NO,Luxury,461,True
9448437.5,4.0,5.0,5796.375,Residential For Sale,Marina Residences 2,NO,Luxury,448,True
657000.0,2.0,1.0,444.0,Residential For Sale,Westwood Grande II,NO,low-economy,454,True
2692000.0,2.0,4.0,1330.0,Residential For Sale,Crest Grande Tower A,NO,Medium,461,True
6000000.0,4.0,6.0,5796.375,Residential For Sale,The Aldea,NO,Luxury,451,True
1500000.0,1.0,1.0,686.0,Residential For Sale,Orchid,NO,Medium,447,False
7300000.0,3.0,3.0,1559.0,Residential For Sale,The Address Residences Dubai Opera Tower 2,YES,Luxury,452,True
1600000.0,1.0,2.0,909.0,Residential For Sale,Waters Edge,YES,Medium,473,True
5699000.0,3.0,4.0,2703.0,Residential For Sale,Springs 5,NO,Luxury,462,True
2100000.0,2.0,3.0,1664.0,Residential For Sale,Al Seef Tower 3,NO,Medium,458,True
3500000.0,1.0,2.0,968.0,Residential For Sale,Burj Khalifa,NO,Medium,467,True
899999.0,1.0,2.0,623.0,Residential For Sale,Carson B,YES,low-economy,471,True
3750000.0,5.0,6.0,4508.0,Residential For Sale,Sharjah Sustainable City,PARTLY,Medium,458,False
1449000.0,3.0,4.0,1859.0,Residential For Sale,Seerah,PARTLY,Medium,462,False
749000.0,1.0,1.0,625.0,Residential For Sale,Souks Residential,NO,low-economy,458,False
1790000.0,2.0,4.0,1247.0,Residential For Sale,Tria By Deyaar,PARTLY,Medium,460,True
5400000.0,3.0,3.0,1777.0,Residential For Sale,5242 Tower 2,YES,Luxury,461,True
9448437.5,4.0,6.0,4642.0,Residential For Sale,Marina Gate 2,YES,Luxury,488,True
1600000.0,3.0,5.0,1881.0,Residential For Sale,Casablanca Boutique Villas,NO,Medium,448,True
4900000.0,4.0,4.0,2145.0,Residential For Sale,Maple 1,NO,Medium,467,True
8700000.0,3.0,4.0,1867.0,Residential For Sale,Jumeirah Gate Tower 1,NO,Luxury,522,True
2800000.0,2.0,2.0,1109.0,Residential For Sale,Urban Oasis,NO,Medium,454,True
2375000.0,1.0,2.0,945.0,Residential For Sale,1 Residences,YES,Medium,458,True
650000.0,2.0,1.0,387.0,Residential For Sale,AZIZI Riviera,NO,low-economy,452,True
7950000.0,2.0,2.0,1475.0,Residential For Sale,Jumeirah Gate Tower 1,YES,Luxury,459,True
2100000.0,1.0,2.0,888.0,Residential For Sale,1 Residences,NO,Medium,484,True
3000000.0,2.0,2.0,1647.0,Residential For Sale,Springs 14,NO,Medium,450,True
2750000.0,1.0,2.0,1848.0,Residential For Sale,Sadaf 6,PARTLY,Medium,457,True
